BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE
0;108500;83750;24875;69375;108000;58375;127750;11375;10750;72250;95125;40250
108500;0;24875;124875;93625;88125;68250;107875;98000;106625;141875;39000;66125
83750;24875;0;100000;69500;80625;43500;100375;73125;81750;117750;30625;43750
24875;124875;100000;0;85125;123750;75000;143500;27500;32000;65625;111750;56875
69375;93625;69500;85125;0;39250;85750;58875;61500;74375;60875;67250;61125
108000;88125;80625;123750;39250;0;124250;24875;97000;113000;100125;50500;99625
58375;68250;43500;75000;85750;124250;0;143750;48125;48250;108125;73125;27000
127750;107875;100375;143500;58875;24875;143750;0;116750;132625;98125;70250;129875
11375;98000;73125;27500;61500;97000;48125;116750;0;16875;61375;84500;29750
10750;106625;81750;32000;74375;113000;48250;132625;16875;0;79750;98250;38750
72250;141875;117750;65625;60875;100125;108125;98125;61375;79750;0;79750;98250
95125;39000;30625;111750;67250;50500;73125;70250;84500;98250;117375;0;117375
40250;66125;43750;56875;61125;99625;27000;129875;29750;38750;90000;73375;0
